Global frequency set at 1000000000000 ticks per second
498088000: system.mem_ctrl: Hit in Dirty Area: 0xb2c68
498229000: system.mem_ctrl: Hit in Host Cache: 0x226c8
498269000: system.mem_ctrl: Hit in Dirty Area: 0xb2ed0
498409000: system.mem_ctrl: Hit in Host Cache: 0x226c8
498449000: system.mem_ctrl: Hit in Host Cache: 0x226d0
498489000: system.mem_ctrl: Hit in Host Cache: 0x226b0
498529000: system.mem_ctrl: Hit in Host Cache: 0x226b0
498569000: system.mem_ctrl: Hit in Host Cache: 0x226b8
498609000: system.mem_ctrl: Hit in Host Cache: 0x226b8
498649000: system.mem_ctrl: Hit in Dirty Area: 0xb2ed8
498789000: system.mem_ctrl: Hit in Host Cache: 0x226b8
498829000: system.mem_ctrl: Hit in Host Cache: 0x226c0
498869000: system.mem_ctrl: Hit in Host Cache: 0x226c0
498909000: system.mem_ctrl: Hit in Host Cache: 0x226c8
498949000: system.mem_ctrl: Hit in Dirty Area: 0xb2c70
499090000: system.mem_ctrl: Hit in Host Cache: 0x226c8
499130000: system.mem_ctrl: Hit in Dirty Area: 0xb2ee0
499270000: system.mem_ctrl: Hit in Host Cache: 0x226c8
499310000: system.mem_ctrl: Hit in Host Cache: 0x226d0
499350000: system.mem_ctrl: Hit in Host Cache: 0x226b0
499390000: system.mem_ctrl: Hit in Host Cache: 0x226b0
499430000: system.mem_ctrl: Hit in Host Cache: 0x226b8
499470000: system.mem_ctrl: Hit in Host Cache: 0x226b8
499510000: system.mem_ctrl: Hit in Dirty Area: 0xb2ee8
499650000: system.mem_ctrl: Hit in Host Cache: 0x226b8
499690000: system.mem_ctrl: Hit in Host Cache: 0x226c0
499730000: system.mem_ctrl: Hit in Host Cache: 0x226c0
499770000: system.mem_ctrl: Hit in Host Cache: 0x226c8
499810000: system.mem_ctrl: Hit in Dirty Area: 0xb2c78
499951000: system.mem_ctrl: Hit in Host Cache: 0x226c8
499991000: system.mem_ctrl: Hit in Dirty Area: 0xb2ef0
500131000: system.mem_ctrl: Hit in Host Cache: 0x226c8
500171000: system.mem_ctrl: Hit in Host Cache: 0x226d0
500211000: system.mem_ctrl: Hit in Host Cache: 0x226b0
500251000: system.mem_ctrl: Hit in Host Cache: 0x226b0
500291000: system.mem_ctrl: Hit in Host Cache: 0x226b8
500331000: system.mem_ctrl: Hit in Host Cache: 0x226b8
